,open,close,high,low,total_turnover,volume,limit_up,limit_down
2007-10-09,44.4525,45.3023,46.0868,44.4525,32254080101.0,465128280.0,,
2007-10-10,46.0933,49.8326,49.8326,45.7534,6395510231.0,86721782.0,49.8326,40.7721
2007-10-11,52.6239,54.8138,54.8138,51.9702,13137212368.0,160744942.0,54.8138,44.8513
2007-10-12,57.5268,60.2201,60.2985,55.5787,15015481267.0,169347154.0,60.2985,49.3357
2007-10-15,60.2723,59.4029,62.0243,57.9124,8629060344.0,94149098.0,66.2408,54.1994
2007-10-16,59.5533,59.1545,60.1351,56.873,6184574206.0,69162155.0,65.3452,53.4607
2007-10-17,58.102,57.5398,58.7492,56.9842,4887916163.0,55333019.0,65.0706,53.2384
2007-10-18,56.873,53.7744,57.1999,53.343,6605763662.0,78489528.0,63.2925,51.7872
2007-10-19,54.9773,54.6635,55.4349,53.6045,4218570595.0,50557214.0,59.1545,48.3944
2007-10-22,53.2122,51.8068,53.866,51.3688,3807528679.0,47434677.0,60.1285,49.1984
2007-10-23,51.9702,52.3297,52.8723,50.1267,4514083891.0,57133990.0,56.9907,46.6294
2007-10-24,52.4932,52.7089,54.487,51.3165,4704169511.0,58257848.0,57.566,47.1
2007-10-25,51.5649,50.4078,52.297,50.0679,3497146730.0,45049431.0,57.9778,47.44
2007-10-26,50.0091,50.6889,51.493,49.8783,2350085922.0,30288816.0,55.4479,45.3677
2007-10-29,51.1857,51.6433,52.9704,50.3359,2177963651.0,27511373.0,55.7552,45.6226
2007-10-30,51.9702,54.2255,54.7093,51.055,3037181837.0,37292137.0,56.8077,46.479
2007-10-31,54.9184,53.4018,55.2388,52.9573,2903415125.0,35237012.0,59.6513,48.8062
2007-11-01,53.4737,52.6304,54.5066,52.6043,2095145634.0,25586270.0,58.7427,48.061
2007-11-02,51.6433,50.3882,52.0879,50.3359,2816643288.0,36199256.0,57.8928,47.3681
2007-11-05,50.3359,48.5643,50.3882,48.1656,2652720495.0,35421362.0,55.4283,45.3481
2007-11-06,48.3094,47.27,48.9631,47.0673,1906509317.0,26121604.0,53.4214,43.7073
2007-11-07,48.0479,48.4009,48.8585,47.538,1354332200.0,18354107.0,51.9963,42.5437
2007-11-08,47.7211,46.1391,47.9695,46.0868,1387353936.0,19268932.0,53.2384,43.5634
2007-11-09,46.0868,45.4396,46.0868,44.9101,1521093737.0,21864080.0,50.7543,41.5239
2007-11-12,44.1322,42.171,44.4329,40.9617,2412679002.0,37088585.0,49.9829,40.8963
2007-11-13,42.8182,41.8246,43.7334,41.1905,1573011300.0,24019439.0,46.3875,37.9546
2007-11-14,42.949,45.9822,46.0083,42.4914,3578108123.0,52173651.0,46.0083,37.6408
2007-11-15,45.2827,44.0537,45.6096,44.0014,2383796604.0,34818027.0,50.5778,41.3866
2007-11-16,43.0797,44.4786,45.1062,42.5044,1127456123.0,16806842.0,48.4598,39.6477
2007-11-19,44.5113,43.5896,44.7793,43.1516,713974790.0,10681062.0,48.9239,40.0334
2007-11-20,43.6288,43.8576,44.4133,42.6548,930882881.0,13995195.0,47.9499,39.2293
2007-11-21,43.8642,44.1191,45.7272,43.8642,1286406578.0,18753813.0,48.244,39.4712
2007-11-22,42.8313,42.0468,43.6223,41.8442,791143941.0,12097795.0,48.5317,39.7065
2007-11-23,41.7069,42.511,43.1385,41.38,1018267133.0,15788060.0,46.2502,37.8435
2007-11-26,43.57,42.4652,44.3217,42.4129,1029512449.0,15541153.0,46.7601,38.2618
2007-11-27,42.2822,42.609,43.0797,41.5239,821120045.0,12735337.0,46.7143,38.2161
2007-11-28,42.8901,42.864,43.6157,42.171,1388335200.0,21162532.0,46.8712,38.3468
2007-11-29,43.5896,44.0799,44.5702,43.1124,2155431955.0,32054836.0,47.1523,38.5756
2007-11-30,44.1779,42.0664,44.1779,41.9945,1617397722.0,24602684.0,48.4859,39.6738
2007-12-03,41.6742,42.2691,42.4914,41.0728,1165172543.0,18300700.0,46.2764,37.8631
2007-12-04,42.4064,42.1122,42.6548,42.0338,816536740.0,12624373.0,46.4986,38.0396
2007-12-05,41.988,42.9816,43.1451,41.5239,1668407245.0,25725583.0,46.3221,37.9023
2007-12-06,43.1516,42.949,43.8576,42.7528,1156027675.0,17427549.0,47.2831,38.6867
2007-12-07,43.0143,43.3412,43.7334,42.6875,1240315127.0,18813844.0,47.2438,38.6541
2007-12-10,42.8182,44.0995,44.5571,42.4979,1939133295.0,28815266.0,47.6753,39.0071
2007-12-11,44.1126,44.2433,44.5571,43.655,1359900555.0,20169613.0,48.5121,39.6869
2007-12-12,43.7988,43.3608,44.191,43.2497,1022077030.0,15309248.0,48.6689,39.8177
2007-12-13,43.3608,42.1253,44.1256,42.0338,1245579157.0,18871455.0,47.6949,39.0267
2007-12-14,41.6154,41.9161,41.9553,41.0989,1238580154.0,19492062.0,46.3352,37.9154
2007-12-17,41.9553,39.883,42.2168,39.87,1778230288.0,28515280.0,46.1064,37.7258
2007-12-18,39.785,39.883,41.0859,39.5496,1043713917.0,16980339.0,43.8707,35.8954
2007-12-19,40.5956,40.4518,40.9878,40.2034,879867266.0,14186339.0,43.8707,35.8954
2007-12-20,40.4975,41.3016,41.4912,40.0726,1253660175.0,20111737.0,44.4983,36.4053
2007-12-21,41.1839,41.5304,41.8442,41.1774,983522409.0,15490188.0,45.4331,37.1701
2007-12-24,41.903,43.4,44.4525,41.8703,2169550281.0,32744167.0,45.6815,37.3793
2007-12-25,43.5177,43.1255,43.8642,42.9555,1015268339.0,15297088.0,47.7407,39.0594
2007-12-26,43.1451,43.4392,44.021,42.7463,969132457.0,14632407.0,47.44,38.8109
2007-12-27,43.5765,43.6942,44.191,42.8378,1592564092.0,23847322.0,47.7864,39.0986
2007-12-28,43.7596,42.8901,43.9949,42.8247,1576152595.0,23852379.0,48.061,39.3274
2008-01-02,42.4979,41.7984,42.8901,41.5762,1657415310.0,25826130.0,47.1785,38.6018
2008-01-03,41.8376,42.5371,42.5959,41.027,1757653590.0,27708439.0,45.9756,37.6212
2008-01-04,42.6221,42.9882,43.7203,42.5894,1799119293.0,27258184.0,46.7928,38.2814
2008-01-07,42.9947,44.3937,44.7074,42.8705,2995021156.0,44674083.0,47.2896,38.6867
2008-01-08,44.6486,44.1845,45.8253,43.8707,3882778526.0,56140602.0,48.8324,39.9549
2008-01-09,43.6027,44.9951,45.4004,43.0797,5079519751.0,75452446.0,48.6036,39.7654
2008-01-10,45.1062,46.4136,46.7732,44.7793,3371236010.0,47991758.0,49.4926,40.4975
2008-01-11,46.3352,45.8384,46.7928,45.3415,2157470518.0,30712336.0,51.055,41.7723
2008-01-14,46.0083,45.2762,46.7862,45.1585,1909649099.0,27293320.0,50.4209,41.2558
2008-01-15,45.3023,43.9884,45.4331,43.7792,3411728992.0,50321301.0,49.8064,40.7459
2008-01-16,43.655,41.7853,43.6615,41.7592,3813790412.0,58728309.0,48.3878,39.5889
2008-01-17,41.7069,41.0532,42.1449,39.87,2867805779.0,45483459.0,45.9626,37.6081
2008-01-18,40.9224,41.7134,42.1645,40.4518,1901232714.0,30046397.0,45.1585,36.9479
2008-01-21,41.7788,39.5627,41.903,39.2359,2176166988.0,35122969.0,45.8841,37.5427
2008-01-22,39.0005,36.3399,39.0136,35.6601,2516855875.0,44057123.0,43.5177,35.6078
2008-01-23,36.5295,37.4643,37.7846,35.9608,1876140474.0,33027396.0,39.9746,32.7053
2008-01-24,37.8827,39.7131,40.3276,37.8827,2528234279.0,41886629.0,41.2101,33.7185
2008-01-25,39.8765,39.5693,41.3147,39.2228,2254440344.0,36301214.0,43.6876,35.745
2008-01-28,39.2751,39.7458,40.5629,38.5037,1868857465.0,30745614.0,43.5242,35.6143
2008-01-29,40.0399,40.3733,41.4127,39.8438,1347928834.0,21737543.0,43.7203,35.7712
2008-01-30,41.1839,38.4449,41.2558,37.4512,2416465637.0,40778924.0,44.4133,36.3334
2008-01-31,38.2422,36.9086,38.2422,36.5491,2027350083.0,35681919.0,42.2887,34.601
2008-02-01,36.6079,37.0851,37.3466,35.8889,945911016.0,16878942.0,40.6021,33.2152
2008-02-04,38.0461,40.2818,40.4322,37.9023,1303809941.0,21757518.0,40.7917,33.3786
2008-02-05,40.2687,38.9678,40.2687,38.5429,1102338492.0,18391626.0,44.3087,36.2549
2008-02-13,38.5691,38.033,38.5691,37.6408,418088006.0,7193157.0,42.864,35.0717
2008-02-14,38.2422,38.2161,38.7652,37.9219,392808432.0,6703359.0,41.8376,34.2284
2008-02-15,37.85,37.0721,38.033,36.876,644990515.0,11328701.0,42.0403,34.3918
2008-02-18,37.9154,37.4643,38.0657,37.2486,724713941.0,12622764.0,40.7786,33.3655
2008-02-19,37.4643,38.6606,38.6867,37.1767,726684869.0,12510657.0,41.2101,33.7185
2008-02-20,38.8306,38.0134,39.4254,38.0069,740975811.0,12494033.0,42.524,34.7971
2008-02-21,37.9154,37.9088,38.6998,37.6408,545828116.0,9347964.0,41.818,34.2153
2008-02-22,37.7192,36.1307,37.7258,35.7123,1155356137.0,20784803.0,41.7004,34.1173
2008-02-25,36.1438,33.5355,36.5164,33.2609,1028340704.0,19697198.0,39.7458,32.5157
2008-02-26,33.8623,32.4438,34.6403,31.2475,1246455826.0,25242945.0,36.889,30.1819
2008-02-27,33.0256,33.1956,33.5682,32.2477,779791312.0,15406718.0,35.6862,29.2014
2008-02-28,33.3394,33.1171,33.6662,32.7053,672135633.0,13278813.0,36.5164,29.8747
2008-02-29,33.0452,32.9471,33.5682,32.6857,680715554.0,13433938.0,36.4314,29.8028
2008-03-03,32.751,33.2805,33.5224,31.8097,1047137890.0,20802272.0,36.2419,29.6524
2008-03-04,33.6662,32.7053,34.3134,32.5418,906838707.0,17729064.0,36.6079,29.9531
2008-03-05,32.6791,31.7508,32.6857,31.2802,824979386.0,16964052.0,35.9738,29.4367
2008-03-06,31.8685,32.2607,33.3394,31.3782,1395631733.0,28198777.0,34.9279,28.5738
2008-03-07,31.9012,32.3915,32.8033,31.692,620496253.0,12545385.0,35.4901,29.0379
2008-03-10,32.0319,31.3586,32.1627,31.2671,776367128.0,16088427.0,35.6339,29.1556
2008-03-11,31.3129,32.7053,32.8164,31.0971,1306474830.0,26425977.0,34.4964,28.2208
2008-03-12,33.542,32.7249,34.2088,32.6726,2009777506.0,39099565.0,35.9738,29.4367
2008-03-13,32.8295,34.0062,34.7645,32.8229,2314533196.0,44525979.0,36.0,29.4498
2008-03-14,33.9931,34.3134,34.3984,33.0779,1155328435.0,22248446.0,37.4055,30.6068
2008-03-17,33.9146,33.2348,34.1892,31.3782,889934006.0,17469129.0,37.7454,30.8814
2008-03-18,32.6857,31.96,33.274,31.3913,1007708530.0,20433808.0,36.5556,29.9139
2008-03-19,32.6857,32.6726,33.3394,32.0319,1032544738.0,20618770.0,35.1567,28.7634
2008-03-20,31.9339,31.9404,32.6857,29.4106,1278128840.0,27075093.0,35.9411,29.404
2008-03-21,31.8358,31.4697,32.6857,31.254,1128751590.0,23245730.0,35.1371,28.7438
2008-03-24,31.8881,29.5478,31.9666,29.4825,1093605257.0,23691787.0,34.6141,28.3254
2008-03-25,29.0902,28.7438,29.4825,28.2404,649415233.0,14707820.0,32.5026,26.593
2008-03-26,29.1556,28.9922,30.0708,28.6849,717733589.0,16002770.0,31.6201,25.8674
2008-03-27,28.4038,26.1485,28.4038,26.1289,1134027872.0,27206970.0,31.8947,26.0962
2008-03-28,25.4948,27.8155,27.992,24.7234,1389473707.0,33967095.0,28.7634,23.5337
2008-03-31,26.6584,26.1485,27.3906,26.0897,587243494.0,14403861.0,30.6003,25.0372
2008-04-01,26.1485,26.2139,27.2468,25.8805,1016247259.0,24988802.0,28.7634,23.5337
2008-04-02,26.6715,26.8938,27.7828,26.1485,1078731964.0,26199563.0,28.8353,23.5925
2008-04-03,26.9003,28.0312,28.2404,26.41,773961868.0,18357513.0,29.5805,24.207
2008-04-07,27.7501,28.953,29.3386,27.4625,683152384.0,15518908.0,30.8356,25.2268
2008-04-08,29.319,29.0772,30.0643,28.7634,835549560.0,18530756.0,31.8489,26.057
2008-04-09,28.8157,27.469,29.1883,27.456,794954394.0,18229165.0,31.9862,26.1681
2008-04-10,27.456,28.3711,29.1752,27.1356,736250856.0,16995425.0,30.2146,24.7234
2008-04-11,28.5215,28.698,29.0902,28.2927,480529894.0,10942923.0,31.2083,25.534
2008-04-14,28.1097,28.0639,29.2144,27.7044,702260205.0,16243437.0,31.5678,25.8282
2008-04-15,28.1423,28.698,28.7634,27.2272,545675696.0,12664701.0,30.8683,25.2595
2008-04-16,28.7438,29.5413,30.0839,28.6326,1076350719.0,23745998.0,31.5678,25.8282
2008-04-17,29.4236,28.1489,29.8878,27.8482,944747717.0,21270993.0,32.4961,26.5865
2008-04-18,27.8155,27.2337,28.4365,26.9984,520037102.0,12291728.0,30.9664,25.3314
2008-04-21,29.9466,27.6717,29.9466,27.2794,783318846.0,18030366.0,29.9597,24.5077
2008-04-22,27.1356,27.992,28.1097,26.8153,533073597.0,12705480.0,30.4369,24.9065
2008-04-23,27.9658,29.0902,29.4759,27.7174,819007510.0,18503238.0,30.7899,25.1941
2008-04-24,31.7051,31.9993,31.9993,30.2865,2823970797.0,58722422.0,31.9993,26.1812
2008-04-25,31.8685,31.3652,32.8556,31.0383,1933434874.0,39936131.0,35.2025,28.8026
2008-04-28,31.0514,30.4892,31.1821,30.3846,807205838.0,17167564.0,34.503,28.2273
2008-04-29,30.3323,30.7899,31.4763,30.2015,753579455.0,15906375.0,33.5355,27.4429
2008-04-30,30.986,31.6266,31.7901,30.5938,1287701502.0,26818248.0,33.8689,27.7109
2008-05-05,32.0973,32.0189,32.6268,31.7574,1219801301.0,24819853.0,34.7906,28.4627
