,open,close,high,low,total_turnover,volume,settlement,prev_settlement,open_interest,basis_spread,limit_up,limit_down
2017-07-18,3948.0,3948.0,3948.0,3948.0,0.0,0.0,3948.0,3948.0,0.0,,4342.0,3553.0
2017-07-19,3948.0,3948.0,3948.0,3948.0,0.0,0.0,3948.0,3948.0,0.0,,4342.0,3553.0
2017-07-20,3976.0,3976.0,3976.0,3976.0,119280.0,2.0,3976.0,3948.0,2.0,,4342.0,3553.0
2017-07-21,3976.0,3993.0,3976.0,3976.0,0.0,0.0,3993.0,3976.0,2.0,,4174.0,3777.0
2017-07-24,4010.0,4010.0,4010.0,4010.0,120300.0,2.0,4010.0,3993.0,4.0,,4192.0,3793.0
2017-07-25,4010.0,4010.0,4010.0,4010.0,0.0,0.0,4010.0,4010.0,4.0,,4210.0,3809.0
2017-07-26,4010.0,3999.0,4010.0,4010.0,0.0,0.0,3999.0,4010.0,4.0,,4210.0,3809.0
2017-07-27,3996.0,3996.0,3996.0,3996.0,119880.0,2.0,3996.0,3999.0,6.0,,4198.0,3799.0
2017-07-28,4022.0,4030.0,4030.0,4022.0,241560.0,4.0,4026.0,3996.0,8.0,,4195.0,3796.0
2017-07-31,4030.0,4026.0,4030.0,4030.0,0.0,0.0,4026.0,4026.0,8.0,,4227.0,3824.0
2017-08-01,4026.0,4026.0,4026.0,4026.0,0.0,0.0,4026.0,4026.0,8.0,,4227.0,3824.0
2017-08-02,4026.0,4026.0,4026.0,4026.0,0.0,0.0,4026.0,4026.0,8.0,,4227.0,3824.0
2017-08-03,4026.0,4018.0,4026.0,4026.0,0.0,0.0,4018.0,4026.0,8.0,,4227.0,3824.0
2017-08-04,4018.0,4018.0,4018.0,4018.0,0.0,0.0,4018.0,4018.0,8.0,,4218.0,3817.0
2017-08-07,4002.0,3956.0,4002.0,3950.0,477240.0,8.0,3977.0,4018.0,12.0,,4218.0,3817.0
2017-08-08,3936.0,3936.0,3936.0,3936.0,118080.0,2.0,3936.0,3977.0,14.0,,4175.0,3778.0
2017-08-09,3958.0,3977.0,3977.0,3921.0,1300530.0,22.0,3941.0,3936.0,26.0,,4132.0,3739.0
2017-08-10,4020.0,4080.0,4080.0,4020.0,970170.0,16.0,4042.0,3941.0,32.0,,4138.0,3743.0
2017-08-11,4110.0,4090.0,4120.0,4090.0,1724010.0,28.0,4104.0,4042.0,30.0,,4244.0,3839.0
2017-08-14,4101.0,4084.0,4128.0,4084.0,492030.0,8.0,4100.0,4104.0,28.0,,4309.0,3898.0
2017-08-15,4119.0,4071.0,4119.0,4071.0,492570.0,8.0,4104.0,4100.0,32.0,,4305.0,3895.0
2017-08-16,4030.0,4035.0,4037.0,4021.0,483690.0,8.0,4030.0,4104.0,32.0,,4309.0,3898.0
2017-08-17,4055.0,4120.0,4128.0,4055.0,980100.0,16.0,4083.0,4030.0,34.0,,4231.0,3828.0
2017-08-18,4095.0,4097.0,4097.0,4095.0,245760.0,4.0,4096.0,4083.0,30.0,,4287.0,3878.0
