,open,close,high,low,total_turnover,volume,settlement,prev_settlement,d,basis_spread,limit_up,limit_down
2013-01-04,6306.0,6226.0,6307.0,6193.0,24142762440.0,258306.0,6231.0,6420.0,214758.0,,6741.0,6099.0
2013-01-07,6330.0,6392.0,6433.0,6321.0,27636022230.0,288146.0,6393.0,6231.0,206106.0,,6542.0,5919.0
2013-01-08,6418.0,6371.0,6420.0,6358.0,18746392650.0,195804.0,6382.0,6393.0,207996.0,,6712.0,6073.0
2013-01-09,6416.0,6429.0,6438.0,6402.0,16840890630.0,174856.0,6420.0,6382.0,204540.0,,6701.0,6062.0
2013-01-10,6398.0,6425.0,6427.0,6378.0,13686391290.0,142480.0,6403.0,6420.0,206606.0,,6741.0,6099.0
2013-01-11,6490.0,6469.0,6515.0,6458.0,20266620720.0,208212.0,6489.0,6403.0,207524.0,,6723.0,6082.0
2013-01-14,6419.0,6479.0,6492.0,6409.0,16759645170.0,173020.0,6457.0,6489.0,219970.0,,6813.0,6164.0
2013-01-15,6555.0,6545.0,6592.0,6506.0,26021634330.0,264790.0,6551.0,6457.0,222448.0,,6779.0,6134.0
2013-01-16,6630.0,6599.0,6632.0,6585.0,17641834020.0,178166.0,6601.0,6551.0,214850.0,,6878.0,6223.0
2013-01-17,6612.0,6580.0,6612.0,6555.0,14885891160.0,150812.0,6580.0,6601.0,205140.0,,6931.0,6270.0
2013-01-18,6632.0,6663.0,6665.0,6619.0,18250484340.0,183112.0,6644.0,6580.0,208860.0,,6909.0,6251.0
2013-01-21,6681.0,6651.0,6698.0,6648.0,15129458280.0,151058.0,6677.0,6644.0,204884.0,,6976.0,6311.0
2013-01-22,6675.0,6694.0,6707.0,6665.0,14569643280.0,145342.0,6682.0,6677.0,203428.0,,7010.0,6343.0
2013-01-23,6710.0,6686.0,6715.0,6675.0,9341812110.0,93064.0,6692.0,6682.0,199808.0,,7016.0,6347.0
2013-01-24,6623.0,6602.0,6655.0,6588.0,15893059560.0,159904.0,6626.0,6692.0,193888.0,,7026.0,6357.0
2013-01-25,6538.0,6573.0,6582.0,6534.0,12047047050.0,122532.0,6554.0,6626.0,189640.0,,6957.0,6294.0
2013-01-28,6503.0,6503.0,6515.0,6483.0,10354810080.0,106206.0,6499.0,6554.0,189740.0,,6881.0,6226.0
2013-01-29,6480.0,6516.0,6518.0,6466.0,13093064190.0,134520.0,6488.0,6499.0,192032.0,,6823.0,6174.0
2013-01-30,6530.0,6538.0,6550.0,6530.0,10325579880.0,105238.0,6541.0,6488.0,194098.0,,6812.0,6163.0
2013-01-31,6632.0,6666.0,6669.0,6625.0,11914880310.0,119448.0,6649.0,6541.0,190944.0,,6868.0,6213.0
2013-02-01,6560.0,6556.0,6562.0,6530.0,13423438740.0,136754.0,6543.0,6649.0,201918.0,,6981.0,6316.0
2013-02-04,6598.0,6607.0,6633.0,6581.0,14084347830.0,142104.0,6607.0,6543.0,204394.0,,6870.0,6215.0
2013-02-05,6594.0,6618.0,6626.0,6583.0,11842593720.0,119484.0,6607.0,6607.0,200330.0,,6937.0,6276.0
2013-02-06,6619.0,6597.0,6622.0,6585.0,8783010420.0,88676.0,6603.0,6607.0,201450.0,,6937.0,6276.0
2013-02-07,6611.0,6602.0,6633.0,6596.0,10614773160.0,106976.0,6615.0,6603.0,195180.0,,6933.0,6272.0
2013-02-08,6530.0,6552.0,6570.0,6500.0,9653197050.0,98408.0,6539.0,6615.0,195676.0,,6945.0,6284.0
2013-02-18,6289.0,6270.0,6294.0,6242.0,12794652750.0,136064.0,6268.0,6539.0,210238.0,,6865.0,6212.0
2013-02-19,6267.0,6275.0,6288.0,6260.0,8777573190.0,93268.0,6274.0,6268.0,220772.0,,6581.0,5954.0
2013-02-20,6203.0,6207.0,6222.0,6180.0,15605676150.0,167676.0,6204.0,6274.0,255642.0,,6587.0,5960.0
2013-02-21,6088.0,5992.0,6088.0,5952.0,23459353710.0,260814.0,5996.0,6204.0,265654.0,,6514.0,5893.0
2013-02-22,6026.0,6046.0,6056.0,6018.0,13500766800.0,148990.0,6041.0,5996.0,257060.0,,6295.0,5696.0
2013-02-25,6019.0,6044.0,6074.0,6000.0,14559189510.0,160606.0,6043.0,6041.0,254796.0,,6343.0,5738.0
2013-02-26,6075.0,6045.0,6108.0,6036.0,14624196030.0,160482.0,6075.0,6043.0,254654.0,,6345.0,5740.0
2013-02-27,6140.0,6112.0,6142.0,6096.0,12908317920.0,140766.0,6113.0,6075.0,246488.0,,6378.0,5771.0
2013-02-28,6086.0,6080.0,6096.0,6075.0,9502142850.0,104102.0,6085.0,6113.0,247858.0,,6418.0,5807.0
2013-03-01,5999.0,5992.0,6016.0,5964.0,12049891500.0,134078.0,5991.0,6085.0,256610.0,,6389.0,5780.0
2013-03-04,6045.0,6028.0,6050.0,6003.0,10874136270.0,120306.0,6025.0,5991.0,253010.0,,6290.0,5691.0
2013-03-05,6024.0,6089.0,6094.0,6015.0,13331116470.0,147038.0,6044.0,6025.0,266720.0,,6326.0,5723.0
