,open,close,high,low,total_turnover,volume,settlement,prev_settlement,open_interest,basis_spread,limit_up,limit_down,dominant_id
2013-01-04,6785.0,6705.0,6786.0,6672.0,0.0,258306.0,6710.0,6899.0,214758.0,,7220.0,6578.0,AG1306
2013-01-07,6809.0,6871.0,6912.0,6800.0,0.0,288146.0,6872.0,6710.0,206106.0,,7021.0,6398.0,AG1306
2013-01-08,6897.0,6850.0,6899.0,6837.0,0.0,195804.0,6861.0,6872.0,207996.0,,7191.0,6552.0,AG1306
2013-01-09,6895.0,6908.0,6917.0,6881.0,0.0,174856.0,6899.0,6861.0,204540.0,,7180.0,6541.0,AG1306
2013-01-10,6877.0,6904.0,6906.0,6857.0,0.0,142480.0,6882.0,6899.0,206606.0,,7220.0,6578.0,AG1306
2013-01-11,6969.0,6948.0,6994.0,6937.0,0.0,208212.0,6968.0,6882.0,207524.0,,7202.0,6561.0,AG1306
2013-01-14,6898.0,6958.0,6971.0,6888.0,0.0,173020.0,6936.0,6968.0,219970.0,,7292.0,6643.0,AG1306
2013-01-15,7034.0,7024.0,7071.0,6985.0,0.0,264790.0,7030.0,6936.0,222448.0,,7258.0,6613.0,AG1306
2013-01-16,7109.0,7078.0,7111.0,7064.0,0.0,178166.0,7080.0,7030.0,214850.0,,7357.0,6702.0,AG1306
2013-01-17,7091.0,7059.0,7091.0,7034.0,0.0,150812.0,7059.0,7080.0,205140.0,,7410.0,6749.0,AG1306
2013-01-18,7111.0,7142.0,7144.0,7098.0,0.0,183112.0,7123.0,7059.0,208860.0,,7388.0,6730.0,AG1306
2013-01-21,7160.0,7130.0,7177.0,7127.0,0.0,151058.0,7156.0,7123.0,204884.0,,7455.0,6790.0,AG1306
2013-01-22,7154.0,7173.0,7186.0,7144.0,0.0,145342.0,7161.0,7156.0,203428.0,,7489.0,6822.0,AG1306
2013-01-23,7189.0,7165.0,7194.0,7154.0,0.0,93064.0,7171.0,7161.0,199808.0,,7495.0,6826.0,AG1306
2013-01-24,7102.0,7081.0,7134.0,7067.0,0.0,159904.0,7105.0,7171.0,193888.0,,7505.0,6836.0,AG1306
2013-01-25,7017.0,7052.0,7061.0,7013.0,0.0,122532.0,7033.0,7105.0,189640.0,,7436.0,6773.0,AG1306
2013-01-28,6982.0,6982.0,6994.0,6962.0,0.0,106206.0,6978.0,7033.0,189740.0,,7360.0,6705.0,AG1306
2013-01-29,6959.0,6995.0,6997.0,6945.0,0.0,134520.0,6967.0,6978.0,192032.0,,7302.0,6653.0,AG1306
2013-01-30,7009.0,7017.0,7029.0,7009.0,0.0,105238.0,7020.0,6967.0,194098.0,,7291.0,6642.0,AG1306
2013-01-31,7111.0,7145.0,7148.0,7104.0,0.0,119448.0,7128.0,7020.0,190944.0,,7347.0,6692.0,AG1306
2013-02-01,7039.0,7035.0,7041.0,7009.0,0.0,136754.0,7022.0,7128.0,201918.0,,7460.0,6795.0,AG1306
2013-02-04,7077.0,7086.0,7112.0,7060.0,0.0,142104.0,7086.0,7022.0,204394.0,,7349.0,6694.0,AG1306
2013-02-05,7073.0,7097.0,7105.0,7062.0,0.0,119484.0,7086.0,7086.0,200330.0,,7416.0,6755.0,AG1306
2013-02-06,7098.0,7076.0,7101.0,7064.0,0.0,88676.0,7082.0,7086.0,201450.0,,7416.0,6755.0,AG1306
2013-02-07,7090.0,7081.0,7112.0,7075.0,0.0,106976.0,7094.0,7082.0,195180.0,,7412.0,6751.0,AG1306
2013-02-08,7009.0,7031.0,7049.0,6979.0,0.0,98408.0,7018.0,7094.0,195676.0,,7424.0,6763.0,AG1306
2013-02-18,6768.0,6749.0,6773.0,6721.0,0.0,136064.0,6747.0,7018.0,210238.0,,7344.0,6691.0,AG1306
2013-02-19,6746.0,6754.0,6767.0,6739.0,0.0,93268.0,6753.0,6747.0,220772.0,,7060.0,6433.0,AG1306
2013-02-20,6682.0,6686.0,6701.0,6659.0,0.0,167676.0,6683.0,6753.0,255642.0,,7066.0,6439.0,AG1306
2013-02-21,6567.0,6471.0,6567.0,6431.0,0.0,260814.0,6475.0,6683.0,265654.0,,6993.0,6372.0,AG1306
2013-02-22,6505.0,6525.0,6535.0,6497.0,0.0,148990.0,6520.0,6475.0,257060.0,,6774.0,6175.0,AG1306
2013-02-25,6498.0,6523.0,6553.0,6479.0,0.0,160606.0,6522.0,6520.0,254796.0,,6822.0,6217.0,AG1306
2013-02-26,6554.0,6524.0,6587.0,6515.0,0.0,160482.0,6554.0,6522.0,254654.0,,6824.0,6219.0,AG1306
2013-02-27,6619.0,6591.0,6621.0,6575.0,0.0,140766.0,6592.0,6554.0,246488.0,,6857.0,6250.0,AG1306
2013-02-28,6565.0,6559.0,6575.0,6554.0,0.0,104102.0,6564.0,6592.0,247858.0,,6897.0,6286.0,AG1306
2013-03-01,6478.0,6471.0,6495.0,6443.0,0.0,134078.0,6470.0,6564.0,256610.0,,6868.0,6259.0,AG1306
2013-03-04,6524.0,6507.0,6529.0,6482.0,0.0,120306.0,6504.0,6470.0,253010.0,,6769.0,6170.0,AG1306
2013-03-05,6503.0,6568.0,6573.0,6494.0,0.0,147038.0,6523.0,6504.0,266720.0,,6805.0,6202.0,AG1306
2013-03-06,6524.0,6541.0,6572.0,6524.0,0.0,158216.0,6545.0,6523.0,269176.0,,6825.0,6220.0,AG1306
2013-03-07,6577.0,6553.0,6579.0,6537.0,0.0,134436.0,6555.0,6545.0,256576.0,,6848.0,6241.0,AG1306
2013-03-08,6542.0,6523.0,6549.0,6504.0,0.0,131012.0,6522.0,6555.0,264348.0,,6858.0,6251.0,AG1306
2013-03-11,6549.0,6569.0,6575.0,6537.0,0.0,132830.0,6560.0,6522.0,252768.0,,6824.0,6219.0,AG1306
2013-03-12,6560.0,6524.0,6565.0,6524.0,0.0,96506.0,6548.0,6560.0,250538.0,,6864.0,6255.0,AG1306
2013-03-13,6579.0,6564.0,6579.0,6550.0,0.0,131258.0,6564.0,6548.0,254510.0,,6851.0,6244.0,AG1306
2013-03-14,6528.0,6493.0,6528.0,6419.0,0.0,198510.0,6475.0,6564.0,238228.0,,6868.0,6259.0,AG1306
2013-03-15,6493.0,6509.0,6520.0,6470.0,0.0,136176.0,6494.0,6475.0,245058.0,,6774.0,6175.0,AG1306
2013-03-18,6518.0,6458.0,6519.0,6412.0,0.0,218586.0,6451.0,6494.0,245904.0,,6794.0,6193.0,AG1306
2013-03-19,6489.0,6499.0,6500.0,6469.0,0.0,104700.0,6486.0,6451.0,233230.0,,6749.0,6152.0,AG1306
2013-03-20,6492.0,6498.0,6507.0,6464.0,0.0,102868.0,6487.0,6486.0,235130.0,,6786.0,6185.0,AG1306
2013-03-21,6459.0,6495.0,6505.0,6450.0,0.0,127120.0,6483.0,6487.0,243874.0,,6787.0,6186.0,AG1306
2013-03-22,6536.0,6523.0,6539.0,6511.0,0.0,115434.0,6523.0,6483.0,232204.0,,6783.0,6182.0,AG1306
2013-03-25,6449.0,6463.0,6491.0,6443.0,0.0,113320.0,6471.0,6523.0,245632.0,,6825.0,6220.0,AG1306
2013-03-26,6464.0,6450.0,6476.0,6441.0,0.0,105996.0,6461.0,6471.0,237556.0,,6770.0,6171.0,AG1306
2013-03-27,6462.0,6321.0,6466.0,6315.0,0.0,319702.0,6380.0,6461.0,299622.0,,6760.0,6161.0,AG1306
2013-03-28,6396.0,6411.0,6441.0,6387.0,0.0,250694.0,6416.0,6380.0,230978.0,,6675.0,6084.0,AG1306
2013-03-29,6329.0,6311.0,6349.0,6270.0,0.0,176690.0,6300.0,6416.0,240292.0,,6712.0,6119.0,AG1306
2013-04-01,6310.0,6216.0,6317.0,6209.0,0.0,201872.0,6263.0,6300.0,245178.0,,6591.0,6008.0,AG1306
2013-04-02,6260.0,6243.0,6274.0,6220.0,0.0,172648.0,6245.0,6263.0,236768.0,,6552.0,5973.0,AG1306
2013-04-03,6089.0,6026.0,6090.0,6017.0,0.0,261454.0,6046.0,6245.0,246532.0,,6533.0,5956.0,AG1306
2013-04-08,6098.0,6106.0,6119.0,6070.0,0.0,176572.0,6089.0,6046.0,227208.0,,6324.0,5767.0,AG1306
2013-04-09,6089.0,6140.0,6144.0,6088.0,0.0,162138.0,6122.0,6089.0,228744.0,,6369.0,5808.0,AG1306
2013-04-10,6231.0,6244.0,6244.0,6209.0,0.0,151478.0,6224.0,6122.0,226972.0,,6404.0,5839.0,AG1306
2013-04-11,6143.0,6138.0,6169.0,6123.0,0.0,158282.0,6145.0,6224.0,219680.0,,6511.0,5936.0,AG1306
2013-04-12,6169.0,6151.0,6169.0,6141.0,0.0,100244.0,6154.0,6145.0,215596.0,,6428.0,5861.0,AG1306
2013-04-15,5813.0,5813.0,5813.0,5813.0,0.0,14618.0,5813.0,6154.0,210542.0,,6437.0,5870.0,AG1306
2013-04-16,5332.0,5332.0,5332.0,5332.0,0.0,56066.0,5332.0,5813.0,193570.0,,6079.0,5546.0,AG1306
2013-04-17,5319.0,5243.0,5362.0,5204.0,0.0,612936.0,5291.0,5332.0,183914.0,,5574.0,5089.0,AG1306
2013-04-18,5151.0,5189.0,5225.0,5005.0,0.0,659300.0,5131.0,5291.0,172780.0,,5531.0,5050.0,AG1306
2013-04-19,5181.0,5267.0,5321.0,5165.0,0.0,477892.0,5239.0,5131.0,158322.0,,5363.0,4898.0,AG1306
2013-04-22,5249.0,5214.0,5277.0,5203.0,0.0,304622.0,5238.0,5239.0,165912.0,,5477.0,5001.0,AG1306
2013-04-23,5214.0,5066.0,5238.0,5030.0,0.0,528696.0,5132.0,5238.0,189518.0,,5475.0,5000.0,AG1306
2013-04-24,5097.0,5169.0,5201.0,5058.0,0.0,496746.0,5127.0,5132.0,162964.0,,5364.0,4899.0,AG1306
2013-04-25,5172.0,5172.0,5222.0,5143.0,0.0,363126.0,5181.0,5127.0,143814.0,,5359.0,4894.0,AG1306
2013-04-26,5422.0,5364.0,5509.0,5352.0,0.0,406698.0,5416.0,5181.0,124786.0,,5416.0,4945.0,AG1306
