,open,close,high,low,total_turnover,volume,limit_up,limit_down
2007-12-03,6.6846,7.2104,7.2194,6.4261,14433034910.0,1869806435.0,,
2007-12-04,7.3174,6.9787,7.4333,6.9163,6275305056.0,776483301.0,7.9324,6.4885
2007-12-05,7.2194,7.558,7.6739,7.1124,6892018280.0,822591672.0,7.6739,6.2835
2007-12-06,7.3352,7.4422,7.4778,7.255,3931115769.0,475612589.0,8.3156,6.8005
2007-12-07,7.3976,7.5224,7.7987,7.3441,4196497114.0,492004097.0,8.1908,6.7024
2007-12-10,7.4422,7.7096,7.7898,7.3976,2708590518.0,315252599.0,8.2711,6.7737
2007-12-11,7.7185,7.6561,7.7719,7.5046,1852015722.0,216466016.0,8.485,6.9431
2007-12-12,7.5759,7.9948,8.0215,7.4065,2495177433.0,290815815.0,8.4226,6.8896
2007-12-13,8.1374,7.9146,8.2443,7.8967,3525894643.0,389085638.0,8.7969,7.1926
2007-12-14,7.9056,7.8522,7.9769,7.6026,1885388819.0,216065091.0,8.7078,7.1213
2007-12-17,7.8611,7.8343,8.0215,7.6828,1045235383.0,118618575.0,8.6365,7.0678
2007-12-18,7.7363,7.9859,8.1285,7.7363,1214654226.0,135751663.0,8.6187,7.05
2007-12-19,8.1463,8.075,8.1819,7.9591,1198694713.0,132446263.0,8.788,7.1837
2007-12-20,8.1017,8.886,8.886,7.9859,3160571746.0,329628207.0,8.886,7.2639
2007-12-21,8.9484,9.4386,9.6971,8.8593,4218348350.0,409412795.0,9.7773,7.9948
2007-12-24,9.5723,9.608,9.9645,9.2515,3369719656.0,311686346.0,10.3834,8.4939
2007-12-25,9.6169,9.7951,9.9288,9.4565,1891846315.0,174231698.0,10.5706,8.6454
2007-12-26,9.7862,10.1606,10.2408,9.6971,2130681110.0,189216996.0,10.7756,8.8147
2007-12-27,10.2319,10.2051,10.3388,9.9378,2214522386.0,195246233.0,11.1766,9.1445
2007-12-28,10.3388,10.2408,10.4903,9.9823,2554889410.0,221658945.0,11.2301,9.1891
2008-01-02,9.9823,10.1873,10.4101,9.6258,2546325505.0,227008351.0,11.2658,9.2158
2008-01-03,10.0625,10.0714,10.3834,9.8219,2087832027.0,184583951.0,11.2034,9.1713
2008-01-04,10.1427,10.1873,10.321,9.911,2452820505.0,214895054.0,11.0786,9.0643
2008-01-07,10.6864,11.0429,11.2034,10.3121,6428884066.0,537078523.0,11.2034,9.1713
2008-01-08,10.9627,10.5884,11.0875,10.4101,3837783386.0,317519514.0,12.1481,9.9378
2008-01-09,10.4101,10.5973,10.6864,10.214,2302733771.0,197078752.0,11.649,9.5278
2008-01-10,10.5973,10.3477,10.5973,10.3032,2266560516.0,194208891.0,11.6579,9.5367
2008-01-11,10.3388,10.214,10.3388,9.9467,2581842307.0,227591575.0,11.3816,9.3139
2008-01-14,10.1606,10.2051,10.3121,9.9912,1321750334.0,115988985.0,11.239,9.1891
2008-01-15,10.2408,10.2408,10.5616,10.1606,1708129853.0,147278097.0,11.2301,9.1891
2008-01-16,10.1427,9.9288,10.1427,9.8932,1575956518.0,140753316.0,11.2658,9.2158
2008-01-17,9.8041,9.5902,9.9823,9.2604,1796768494.0,166379730.0,10.9182,8.9395
2008-01-18,9.4654,10.0625,10.0982,9.3228,1668992897.0,153342860.0,10.5527,8.6276
2008-01-21,10.0001,9.5278,10.0091,9.4476,1054911102.0,96193107.0,11.0697,9.0554
2008-01-22,9.1356,8.6187,9.2871,8.5741,1585847865.0,159438406.0,10.4814,8.5741
2008-01-23,8.9217,9.2693,9.3049,8.7791,1606727254.0,157337084.0,9.4832,7.7541
2008-01-24,9.2693,9.4654,9.6793,9.2247,1099154775.0,103230986.0,10.1962,8.3424
2008-01-25,9.3762,9.4654,9.5812,9.1623,947928509.0,90190703.0,10.4101,8.5206
2008-01-28,9.2782,8.7167,9.3584,8.69,755613468.0,75551808.0,10.4101,8.5206
2008-01-29,8.8682,8.9128,9.0554,8.6454,512990101.0,51535598.0,9.5902,7.8432
2008-01-30,8.9841,8.7969,9.1356,8.5474,651343222.0,65428157.0,9.8041,8.0215
2008-01-31,8.7345,8.5295,8.9306,8.5117,510775325.0,52535522.0,9.6793,7.9146
2008-02-01,8.5741,8.5117,8.6454,8.1552,663244414.0,70604085.0,9.3852,7.6739
2008-02-04,8.8237,9.3673,9.3673,8.69,1586665269.0,153337919.0,9.3673,7.665
2008-02-05,9.3673,9.4921,9.5812,9.1891,1408691062.0,133573151.0,10.3032,8.4315
2008-02-13,9.3406,9.2336,9.4743,9.0821,619301624.0,59683727.0,10.4458,8.5474
2008-02-14,9.3673,9.3495,9.4386,9.2426,371442481.0,35421180.0,10.1606,8.3067
2008-02-15,9.2604,9.3762,9.403,9.091,441650418.0,42624940.0,10.2854,8.4137
2008-02-18,9.5189,9.4654,9.706,9.4476,742476766.0,69187847.0,10.3121,8.4404
2008-02-19,9.4832,9.5634,9.6704,9.3406,686837432.0,64383779.0,10.4101,8.5206
2008-02-20,9.5723,9.2158,9.5991,9.1178,852653583.0,81660369.0,10.5171,8.6097
2008-02-21,9.1356,9.0376,9.1713,8.8682,874264019.0,86804226.0,10.1338,8.2978
2008-02-22,8.9395,8.8237,8.993,8.7345,742739992.0,74866012.0,9.9378,8.1374
2008-02-25,8.9217,8.8415,9.1802,8.7167,663362924.0,66491343.0,9.706,7.9413
2008-02-26,9.0732,8.5741,9.091,8.2265,721584486.0,75035437.0,9.7238,7.9591
2008-02-27,8.5652,8.6097,8.7345,8.3691,494323021.0,51100237.0,9.4297,7.7185
2008-02-28,8.6454,8.6097,8.7167,8.3424,519247857.0,54256747.0,9.4743,7.7452
2008-02-29,8.5741,8.5652,8.6454,8.4671,447400666.0,46544652.0,9.4743,7.7452
2008-03-03,8.1998,8.4404,8.5652,7.8967,4303682453.0,468984414.0,9.4208,7.7096
2008-03-04,8.3424,8.0304,8.3424,8.0037,2201813885.0,241210111.0,9.2871,7.5937
2008-03-05,7.9324,7.8878,8.0928,7.5937,1449691020.0,165490857.0,8.8326,7.2283
2008-03-06,7.9146,8.0215,8.2265,7.7006,1411580163.0,157089673.0,8.6811,7.1035
2008-03-07,7.9324,8.1195,8.1552,7.8432,1006176081.0,111742746.0,8.8237,7.2194
2008-03-10,7.9324,7.6828,7.9769,7.5402,1817655093.0,210640729.0,8.9306,7.3085
2008-03-11,7.5848,7.6828,7.8343,7.46,973345956.0,113752568.0,8.4493,6.9163
2008-03-12,7.8522,7.2817,7.8789,7.2283,1294523991.0,154504635.0,8.4493,6.9163
2008-03-13,7.2015,7.0857,7.2817,6.9252,888782597.0,111901468.0,8.0126,6.5509
2008-03-14,7.0411,6.9698,7.1391,6.845,537889291.0,68322015.0,7.7987,6.3816
2008-03-17,6.9787,6.7024,7.0322,6.6846,632159488.0,82682899.0,7.665,6.2746
2008-03-18,6.7024,6.9698,7.0054,6.5063,1184832426.0,156403218.0,7.3709,6.034
2008-03-19,7.1302,7.1302,7.2817,6.8807,1357889898.0,170102357.0,7.665,6.2746
2008-03-20,6.9431,7.2283,7.4511,6.6222,1436275951.0,181345852.0,7.8432,6.4172
2008-03-21,7.2104,7.0946,7.2639,7.0054,1055047172.0,131957562.0,7.9502,6.5063
2008-03-24,7.1481,6.7826,7.2194,6.7737,732379754.0,93608792.0,7.8076,6.3816
2008-03-25,6.6935,6.8539,6.9787,6.6311,507629640.0,66753944.0,7.46,6.1053
2008-03-26,6.9074,6.7292,6.952,6.6668,472173612.0,61833526.0,7.5402,6.1676
2008-03-27,6.5509,6.2835,6.6222,6.2389,1012554132.0,141588444.0,7.4065,6.0607
2008-03-28,6.1855,6.5865,6.6846,6.1498,1019054175.0,141194218.0,6.9163,5.6596
2008-03-31,6.3281,6.3103,6.4707,6.2389,572411155.0,80489701.0,7.2461,5.927
2008-04-01,6.3816,6.3103,6.5063,6.2033,737039251.0,103382319.0,6.9431,5.6774
2008-04-02,6.435,6.4885,6.64,6.3192,1049337007.0,144219457.0,6.9431,5.6774
2008-04-03,6.5509,6.8896,6.9074,6.4172,1159838459.0,154103674.0,7.1391,5.8379
2008-04-07,6.7648,7.1926,7.362,6.6935,1476639761.0,185907686.0,7.5759,6.2033
2008-04-08,7.1837,7.1481,7.3798,7.0054,1045848720.0,129698506.0,7.9146,6.4707
2008-04-09,7.0678,6.6489,7.1302,6.6222,1025340674.0,132578009.0,7.8611,6.435
2008-04-10,6.5598,6.7381,6.7559,6.4439,563391203.0,76218167.0,7.3174,5.9805
2008-04-11,6.7202,6.6757,6.8183,6.6489,402891827.0,53480403.0,7.4154,6.0607
2008-04-14,6.5509,6.337,6.5776,6.2835,485891261.0,67786568.0,7.3441,6.0072
2008-04-15,6.3192,6.4172,6.4618,6.0607,531668433.0,75885083.0,6.9698,5.7042
2008-04-16,6.3726,6.2479,6.4172,6.2211,296841405.0,41928333.0,7.0589,5.7755
2008-04-17,6.3637,6.2746,6.4172,6.1498,430466462.0,61336070.0,6.8718,5.624
